"TIME","Vout","Vent"
0,0.00035536,0
4.444444444e-008,0.00035536,0.000865674
1.777777778e-007,0.00035536,0.00346211
3.555555556e-007,0.00035536,0.00692045
7.111111111e-007,0.00035536,0.0138108
1.422222222e-006,0.00035536,0.0273819
2.131565986e-006,0.00035536,0.040446
2.848819982e-006,0.00035536,0.0529451
3.666610886e-006,0.000355366,0.0660452
4.553106147e-006,0.000355373,0.0785297
5.522496665e-006,0.00035538,0.0897585
6.633607777e-006,0.000355446,0.0990781
7.744718888e-006,0.000355646,0.104249
8.855829999e-006,0.000356163,0.105077
9.96694111e-006,0.000357349,0.101555
1.107805222e-005,0.000359825,0.0938674
1.218916333e-005,0.000364611,0.0823812
1.330027444e-005,0.000373287,0.0676286
1.441138555e-005,0.000388176,0.0502847
1.552249667e-005,0.000412544,0.0311379
1.663360778e-005,0.000450796,0.0110553
1.774471889e-005,0.000508663,-0.00905499
1.885583e-005,0.000593345,-0.0282838
1.996694111e-005,0.00071361,-0.0457605
2.107805222e-005,0.000879812,-0.060691
2.218916333e-005,0.00110381,-0.0723925
2.330027444e-005,0.0013988,-0.0803235
2.441138555e-005,0.00177902,-0.0841071
2.552249667e-005,0.0022593,-0.0835478
2.663360778e-005,0.0028546,-0.07864
2.774471889e-005,0.00357931,-0.0695681
2.885583e-005,0.0044466,-0.0566985
2.996694111e-005,0.00546757,-0.0405638
3.107805222e-005,0.00665054,-0.0218391
3.218916333e-005,0.00800017,-0.00131285
3.330027444e-005,0.0095168,0.0201477
3.441138555e-005,0.0111958,0.0416345
3.552249667e-005,0.0130269,0.0622382
3.663360778e-005,0.0149941,0.0810881
3.774471889e-005,0.0170754,0.0973901
3.885583e-005,0.0192429,0.110461
3.996694111e-005,0.0214629,0.11976
4.107805222e-005,0.023697,0.12491
4.218916333e-005,0.0259025,0.125714
4.330027444e-005,0.0280334,0.122168
4.441138555e-005,0.0300421,0.114456
4.552249667e-005,0.0318803,0.102944
4.663360778e-005,0.0335011,0.0881648
4.774471889e-005,0.0348599,0.0707931
4.885583e-005,0.0359168,0.0516175
4.996694111e-005,0.0366374,0.0315051
5.107805222e-005,0.0369948,0.011364
5.218916333e-005,0.0369707,-0.0078967
5.330027444e-005,0.0365563,-0.0254062
5.441138555e-005,0.035753,-0.0403705
5.552249667e-005,0.0345731,-0.0521068
5.663360778e-005,0.0330396,-0.0600735
5.774471889e-005,0.0311858,-0.0638938
5.885583e-005,0.0290549,-0.0633723
5.996694111e-005,0.0266989,-0.0585032
6.107805222e-005,0.024177,-0.049471
6.218916333e-005,0.0215543,-0.0366422
6.330027444e-005,0.0188996,-0.0205491
6.441138555e-005,0.0162835,-0.00186704
6.552249667e-005,0.0137764,0.0186156
6.663360778e-005,0.0114463,0.0400315
6.774471889e-005,0.00935628,0.0614728
6.885583e-005,0.00756323,0.08203
6.996694111e-005,0.00611558,0.100832
7.107805222e-005,0.00505201,0.117086
7.218916333e-005,0.0044003,0.130108
7.330027444e-005,0.00417651,0.139356
7.441138555e-005,0.00438464,0.144454
7.552249667e-005,0.00501663,0.145207
7.663360778e-005,0.00605284,0.141608
7.774471889e-005,0.00746287,0.133841
7.885583e-005,0.00920679,0.122274
7.996694111e-005,0.0112366,0.107439
8.107805222e-005,0.0134981,0.09001
8.218916333e-005,0.0159328,0.0707764
8.330027444e-005,0.0184799,0.0506052
8.441138555e-005,0.0210785,0.0304042
8.552249667e-005,0.0236696,0.0110828
8.663360778e-005,0.0261981,-0.00648832
8.774471889e-005,0.0286145,-0.0215152
8.885583e-005,0.0308762,-0.033315
8.996694111e-005,0.0329488,-0.0413461
9.107805222e-005,0.0348071,-0.0452318
9.218916333e-005,0.0364351,-0.0447765
9.330027444e-005,0.0378264,-0.0399745
9.441138555e-005,0.0389837,-0.0310104
9.552249667e-005,0.0399182,-0.0182504
9.663360778e-005,0.0406486,-0.00222722
9.774471889e-005,0.0411999,0.0163841
9.885583e-005,0.0416017,0.0367951
