"TIME","Vout"
0.0001775275936,-0.0619042
0.0001791942603,-0.0540699
0.0001808609269,-0.0438718
0.0001810692603,-0.0424179
0.0001814859269,-0.0394335
0.0001817342129,-0.037599
0.0001819340229,-0.0360948
0.0001820766525,-0.0350047
0.0001822131752,-0.0339481
0.0001823057898,-0.0332244
0.0001824865454,-0.0317967
0.0001828480566,-0.0288826
0.0001832772131,-0.0253294
0.0001838701747,-0.0202725
0.000184747085,-0.0125435
0.0001856572215,-0.0043003
0.0001865264934,0.00369406
0.0001871005257,0.00900397
0.0001874168464,0.0119228
0.0001877453096,0.0149399
0.0001881953819,0.0190402
0.0001886631453,0.0232453
0.0001892633082,0.0285282
0.0001897105001,0.0323658
0.0001901294562,0.0358712
0.000190395569,0.0380479
0.0001906747591,0.0402857
0.0001910070459,0.0428829
0.0001914861375,0.0464891
0.0001922026358,0.0515446
0.0001934947341,0.0594838
0.0001941146346,0.0627127
0.0001947748531,0.0656986
0.0001956628286,0.0689208
0.0001961704112,0.0703375
0.0001962973069,0.0706326
0.0001964982637,0.0710704
0.0001966292657,0.0713309
0.0001968124567,0.071658
0.0001969248736,0.0718375
0.000197069998,0.0720456
0.000197249242,0.0722658
0.0001976072508,0.0725857
0.0001983232685,0.0727578
0.0001997553038,0.0713303
0.0002014219705,0.0669126
0.0002030886372,0.0597965
0.0002047553038,0.0502597
0.0002055780312,0.044723
0.000205783713,0.0432402
0.0002061268451,0.0407158
0.0002062871537,0.0395116
0.0002064440891,0.0383165
0.000206600567,0.0371084
0.0002067287732,0.0361066
0.0002069482591,0.0343671
0.0002070819435,0.0332926
0.0002071879046,0.0324322
0.0002073004289,0.0315113
0.0002074162514,0.0305555
0.0002076478964,0.0286211
0.0002081111864,0.0246676
0.0002085302142,0.0210036
0.0002091688815,0.0152844
0.0002095204398,0.0120764
0.0002097035658,0.0103908
0.00020988708,0.0086929
0.0002099632083,0.00798602
0.0002100573331,0.00711015
0.0002101590425,0.00616147
0.0002103624613,0.00425789
0.000210593513,0.00208725
0.0002110005195,-0.00174751
0.000211374189,-0.00527129
0.0002117888182,-0.00917485
0.0002120221058,-0.0113651
0.0002122574593,-0.0135676
0.0002126341745,-0.0170709
0.0002130182144,-0.0206062
0.0002137794304,-0.0274634
0.0002142518401,-0.031598
0.0002147388322,-0.0357426
0.0002150190463,-0.0380672
0.0002153064077,-0.0404005
0.0002156532895,-0.0431428
0.00021611866,-0.0466823
0.0002169081258,-0.052279
0.0002179081659,-0.0585405
0.0002184919599,-0.0617337
0.000219070505,-0.0645341
0.0002198055047,-0.0675319
0.0002202648352,-0.0690745
0.0002206543936,-0.0701762
0.0002208473403,-0.0706504
0.000220974059,-0.0709362
0.0002211597703,-0.0713168
0.0002212749663,-0.0715302
0.0002214103482,-0.071759
0.0002215826615,-0.072016
0.0002219262637,-0.0724154
0.0002226134679,-0.0727726
0.0002239878764,-0.07181
