"FREQ","Vout"
1.519911083,-0.270205
1.523414757,-0.270205
1.52692659,-0.270205
1.53044652,-0.270205
1.533974563,-0.270205
1.53751074,-0.270205
1.541055068,-0.270205
1.544607567,-0.270205
1.548168255,-0.270205
1.551737152,-0.270205
1.555314275,-0.270205
1.558899645,-0.270205
1.56249328,-0.270205
1.566095199,-0.270205
1.569705421,-0.270205
1.573323966,-0.270205
1.576950852,-0.270205
1.580586099,-0.270205
1.584229726,-0.270205
1.587881753,-0.270205
1.591542199,-0.270205
1.595211082,-0.270205
1.598888424,-0.270205
1.602574242,-0.270205
1.606268557,-0.270205
1.609971389,-0.270205
1.613682756,-0.270205
1.617402679,-0.270205
1.621131177,-0.270205
1.624868271,-0.270205
1.628613979,-0.270205
1.632368322,-0.270205
1.636131319,-0.270205
1.639902992,-0.270205
1.643683358,-0.270205
1.64747244,-0.270205
1.651270256,-0.270205
1.655076827,-0.270205
1.658892173,-0.270205
1.662716315,-0.270205
1.666549272,-0.270205
1.670391064,-0.270205
1.674241714,-0.270205
1.678101239,-0.270205
1.681969662,-0.270205
1.685847003,-0.270205
1.689733281,-0.270205
1.693628519,-0.270205
1.697532736,-0.270205
1.701445953,-0.270205
1.705368191,-0.270205
1.709299471,-0.270205
1.713239813,-0.270205
1.717189238,-0.270205
1.721147768,-0.270205
1.725115424,-0.270205
1.729092226,-0.270205
1.733078195,-0.270205
1.737073353,-0.270205
1.74107772,-0.270205
1.745091319,-0.270205
1.74911417,-0.270205
1.753146295,-0.270205
1.757187714,-0.270205
1.76123845,-0.270205
1.765298524,-0.270205
1.769367957,-0.270205
1.773446772,-0.270205
1.777534989,-0.270205
1.78163263,-0.270205
1.785739718,-0.270205
1.789856273,-0.270205
1.793982318,-0.270205
1.798117874,-0.270205
1.802262964,-0.270205
1.806417609,-0.270205
1.810581832,-0.270205
1.814755654,-0.270205
1.818939098,-0.270205
1.823132185,-0.270205
1.827334939,-0.270205
1.831547381,-0.270205
1.835769534,-0.270205
1.84000142,-0.270205
1.844243061,-0.270205
1.84849448,-0.270205
1.8527557,-0.270205
1.857026743,-0.270205
1.861307632,-0.270205
1.865598389,-0.270205
1.869899038,-0.270205
1.8742096,-0.270205
1.8785301,-0.270205
1.882860559,-0.270205
1.887201,-0.270205
1.891551448,-0.270205
1.895911925,-0.270205
1.900282453,-0.270205
1.904663056,-0.270205
1.909053758,-0.270205
1.913454582,-0.270205
1.91786555,-0.270205
1.922286687,-0.270205
1.926718015,-0.270205
1.931159559,-0.270205
1.935611341,-0.270205
1.940073386,-0.270205
1.944545717,-0.270205
1.949028358,-0.270205
1.953521333,-0.270205
1.958024664,-0.270205
1.962538377,-0.270205
1.967062496,-0.270205
1.971597043,-0.270205
1.976142044,-0.270205
1.980697521,-0.270205
1.985263501,-0.270205
1.989840006,-0.270205
1.994427061,-0.270205
1.99902469,-0.270205
2.003632918,-0.270205
2.008251769,-0.270205
2.012881267,-0.270205
2.017521438,-0.270205
2.022172305,-0.270205
2.026833893,-0.270205
2.031506228,-0.270205
2.036189334,-0.270205
2.040883235,-0.270205
2.045587957,-0.270205
2.050303524,-0.270205
2.055029962,-0.270205
2.059767295,-0.270205
2.064515549,-0.270205
2.069274749,-0.270205
2.07404492,-0.270205
2.078826087,-0.270205
2.083618276,-0.270205
2.088421512,-0.270205
2.093235821,-0.270205
2.098061228,-0.270205
2.102897759,-0.270205
2.107745439,-0.270205
2.112604294,-0.270205
2.11747435,-0.270205
2.122355632,-0.270205
2.127248167,-0.270205
2.132151981,-0.270205
2.137067098,-0.270205
2.141993547,-0.270205
2.146931352,-0.270205
2.15188054,-0.270205
2.156841137,-0.270205
2.161813169,-0.270205
2.166796663,-0.270205
2.171791645,-0.270205
2.176798142,-0.270205
2.18181618,-0.270205
2.186845786,-0.270205
2.191886986,-0.270205
2.196939807,-0.270205
2.202004277,-0.270205
2.207080421,-0.270205
2.212168267,-0.270205
2.217267841,-0.270205
2.222379171,-0.270205
2.227502284,-0.270205
2.232637208,-0.270205
2.237783968,-0.270205
2.242942593,-0.270205
2.248113109,-0.270205
2.253295545,-0.270205
2.258489928,-0.270205
2.263696285,-0.270205
2.268914644,-0.270205
2.274145032,-0.270205
2.279387478,-0.270205
2.284642009,-0.270205
2.289908653,-0.270205
2.295187437,-0.270205
2.300478391,-0.270205
2.305781541,-0.270205
2.311096916,-0.270205
2.316424545,-0.270205
2.321764455,-0.270205
2.327116675,-0.270205
2.332481233,-0.270205
2.337858157,-0.270205
2.343247477,-0.270205
2.34864922,-0.270205
2.354063416,-0.270205
2.359490093,-0.270205
2.364929279,-0.270205
2.370381004,-0.270205
2.375845297,-0.270205
2.381322186,-0.270205
2.3868117,-0.270205
2.39231387,-0.270205
2.397828723,-0.270205
2.403356289,-0.270205
2.408896597,-0.270205
2.414449677,-0.270205
2.420015559,-0.270205
2.425594271,-0.270205
2.431185843,-0.270205
2.436790305,-0.270205
2.442407687,-0.270205
2.448038018,-0.270205
2.453681328,-0.270205
2.459337648,-0.270205
2.465007007,-0.270205
2.470689435,-0.270205
2.476384962,-0.270205
2.482093619,-0.270205
2.487815436,-0.270205
2.493550443,-0.270205
2.49929867,-0.270205
2.505060149,-0.270205
2.510834909,-0.270205
2.516622981,-0.270205
2.522424396,-0.270205
2.528239185,-0.270205
2.534067378,-0.270205
2.539909007,-0.270205
2.545764102,-0.270205
2.551632694,-0.270205
2.557514815,-0.270205
2.563410495,-0.270205
2.569319767,-0.270205
2.575242661,-0.270205
2.581179208,-0.270205
2.587129441,-0.270205
2.59309339,-0.270205
2.599071088,-0.270205
2.605062565,-0.270205
2.611067855,-0.270205
2.617086988,-0.270205
2.623119996,-0.270205
2.629166912,-0.270205
2.635227768,-0.270205
2.641302595,-0.270205
2.647391427,-0.270205
2.653494294,-0.270205
2.65961123,-0.270205
2.665742267,-0.270205
2.671887438,-0.270205
2.678046775,-0.270205
2.68422031,-0.270205
2.690408077,-0.270205
2.696610108,-0.270205
2.702826436,-0.270205
2.709057095,-0.270205
2.715302116,-0.270205
2.721561534,-0.270205
2.727835381,-0.270205
2.734123691,-0.270205
2.740426498,-0.270205
2.746743833,-0.270205
2.753075732,-0.270205
2.759422227,-0.270205
2.765783352,-0.270205
2.772159141,-0.270205
2.778549628,-0.270205
2.784954846,-0.270205
2.79137483,-0.270205
2.797809614,-0.270205
2.804259231,-0.270205
2.810723716,-0.270205
2.817203103,-0.270205
2.823697427,-0.270205
2.830206722,-0.270205
2.836731022,-0.270205
