"TIME","Vout"
0,0.00035536
5.742086973e-006,0.000355363
8.946650775e-006,0.00035541
1.095325401e-005,0.000355552
1.279065597e-005,0.000355968
1.547652913e-005,0.000358149
1.843379834e-005,0.00036605
2.143178427e-005,0.000387029
2.439069734e-005,0.000432149
2.785907516e-005,0.000540845
3.107217325e-005,0.000725364
3.632996362e-005,0.00131251
4.225489835e-005,0.00257123
4.866051368e-005,0.0048062
5.638333943e-005,0.00872113
6.438135873e-005,0.0138612
7.290273026e-005,0.0199135
8.203355663e-005,0.0263101
9.240809631e-005,0.0329087
0.0001038476822,0.0393752
0.0001148015182,0.045156
0.0001258288222,0.0509167
0.0001367658861,0.0566492
0.0001497678003,0.0632736
0.0001665067089,0.0710804
0.0001796881752,0.0765584
0.0001926866629,0.08141
0.0002101588135,0.0871261
0.0002377213582,0.0940716
0.0002710546916,0.0987015
0.0003043880249,0.0990425
0.0003377213582,0.0951063
0.0003710546916,0.0870477
0.0004043880249,0.0751996
0.0004377213582,0.0600767
0.0004710546916,0.0423431
0.0005043880249,0.0227748
0.0005377213582,0.00222678
0.0005710546916,-0.0184031
0.0006043880249,-0.0382131
0.0006377213582,-0.0563375
0.0006710546916,-0.0719842
0.0007043880249,-0.0844694
0.0007377213582,-0.0932473
0.0007710546916,-0.0979344
0.0008043880249,-0.0983257
0.0008377213582,-0.0944042
0.0008710546916,-0.0863412
0.0009043880249,-0.0744891
0.0009377213582,-0.0593659
0.0009710546916,-0.0416326
0.001004388025,-0.0220642
0.001037721358,-0.00151595
0.001071054692,0.0191141
0.001104388025,0.0389243
0.001137721358,0.0570488
0.001171054692,0.0726955
0.001204388025,0.0851805
0.001237721358,0.0939583
0.001271054692,0.0986452
0.001304388025,0.0990363
0.001337721358,0.0951146
0.001371054692,0.0870515
0.001404388025,0.0751994
0.001437721358,0.0600762
0.001471054692,0.0423431
0.001504388025,0.0227748
0.001537721358,0.00222677
0.001571054692,-0.0184031
0.001604388025,-0.0382131
0.001637721358,-0.0563375
0.001671054692,-0.0719842
0.001704388025,-0.0844694
0.001737721358,-0.0932473
0.001771054692,-0.0979344
0.001804388025,-0.0983257
0.001837721358,-0.0944042
0.001871054692,-0.0863412
0.001904388025,-0.0744891
0.001937721358,-0.0593659
0.001971054692,-0.0416326
0.002004388025,-0.0220642
0.002037721358,-0.00151595
0.002071054692,0.0191141
0.002104388025,0.0389243
0.002137721358,0.0570488
0.002171054692,0.0726955
0.002204388025,0.0851805
0.002237721358,0.0939583
0.002271054692,0.0986452
0.002304388025,0.0990363
0.002337721358,0.0951146
0.002371054692,0.0870515
0.002404388025,0.0751994
0.002437721358,0.0600762
0.002471054692,0.0423431
0.002504388025,0.0227748
0.002537721358,0.00222677
0.002571054692,-0.0184031
0.002604388025,-0.0382131
0.002637721358,-0.0563375
0.002671054692,-0.0719842
0.002704388025,-0.0844694
0.002737721358,-0.0932473
0.002771054692,-0.0979344
0.002804388025,-0.0983257
0.002837721358,-0.0944042
